GesID	Ebene
2599	Shadow-exposed slope
2599	Plain
2601	Sun-exposed slope
2602	Sun-exposed slope
2603	Sun-exposed slope
2604	Sun-exposed slope
2605	Sun-exposed slope
2605	Shadow-exposed slope
2605	Plain
2606	Sun-exposed slope
2606	Plain
2607	Sun-exposed slope
2608	Sun-exposed slope
2609	Sun-exposed slope
2610	Sun-exposed slope
2611	Sun-exposed slope
2612	Shadow-exposed slope
2612	Plain
2612	Sun-exposed slope
2613	Plain
2614	Plain
2614	Sun-exposed slope
2615	Plain
2615	Shadow-exposed slope
2616	Plain
2617	Plain
2618	Plain
2619	Plain
2619	Sun-exposed slope
2620	Plain
2621	Plain
2621	Shadow-exposed slope
2622	Plain
2622	Sun-exposed slope
2623	Sun-exposed slope
2624	Shadow-exposed slope
2625	Shadow-exposed slope
2626	Plain
2627	Plain
2628	Plain
2628	Shadow-exposed slope
2628	Sun-exposed slope
2629	Plain
2629	Shadow-exposed slope
2629	Sun-exposed slope
2630	Plain
2631	Shadow-exposed slope
2631	Sun-exposed slope
2632	Shadow-exposed slope
2633	Plain
2634	Plain
2635	Plain
2636	Plain
2636	Shadow-exposed slope
2637	Shadow-exposed slope
2638	Plain
2640	Sun-exposed slope
2641	Plain
2641	Shadow-exposed slope
2642	Plain
2642	Shadow-exposed slope
2643	Plain
2643	Shadow-exposed slope
2644	Plain
2645	Shadow-exposed slope
2646	Plain
2646	Shadow-exposed slope
2646	Sun-exposed slope
2647	Sun-exposed slope
2648	Plain
2649	Plain
2650	Shadow-exposed slope
2651	Shadow-exposed slope
2652	Plain
2652	Shadow-exposed slope
2652	Sun-exposed slope
2653	Shadow-exposed slope
2654	Plain
2654	Sun-exposed slope
2656	Shadow-exposed slope
2656	Sun-exposed slope
2657	Plain
2657	Sun-exposed slope
2659	Sun-exposed slope
2660	Sun-exposed slope
2661	Sun-exposed slope
2662	Plain
2662	Shadow-exposed slope
2663	Sun-exposed slope
2664	Sun-exposed slope
2665	Sun-exposed slope
2666	Plain
2666	Shadow-exposed slope
2666	Sun-exposed slope
2667	Shadow-exposed slope
2669	Sun-exposed slope
2670	Sun-exposed slope
2671	Shadow-exposed slope
2672	Shadow-exposed slope
2673	Plain
2673	Sun-exposed slope
2674	Plain
2675	Shadow-exposed slope
2676	Plain
2676	Shadow-exposed slope
2677	Sun-exposed slope
2678	Shadow-exposed slope
2679	Plain
2679	Shadow-exposed slope
2679	Sun-exposed slope
2680	Shadow-exposed slope
2680	Plain
2681	Shadow-exposed slope
2681	Plain
2681	Sun-exposed slope
2682	Plain
2683	Sun-exposed slope
2684	Plain
2684	Shadow-exposed slope
2686	Sun-exposed slope
2687	Shadow-exposed slope
2688	Shadow-exposed slope
2689	Shadow-exposed slope
2690	Sun-exposed slope
2690	Shadow-exposed slope
2690	Plain
2691	Shadow-exposed slope
2692	Shadow-exposed slope
2693	Shadow-exposed slope
2693	Sun-exposed slope
2694	Plain
2694	Shadow-exposed slope
2695	Plain
2695	Shadow-exposed slope
2696	Sun-exposed slope
2696	Shadow-exposed slope
2696	Plain
2697	Plain
2697	Shadow-exposed slope
2698	Plain
2698	Shadow-exposed slope
2699	Shadow-exposed slope
2700	Shadow-exposed slope
2700	Sun-exposed slope
2700	Plain
2701	Plain
2701	Shadow-exposed slope
2701	Sun-exposed slope
2702	Sun-exposed slope
2702	Plain
2702	Shadow-exposed slope
2703	Sun-exposed slope
2703	Plain
2703	Shadow-exposed slope
2704	Sun-exposed slope
2704	Shadow-exposed slope
2704	Plain
2705	Plain
2705	Sun-exposed slope
2706	Plain
2706	Shadow-exposed slope
2706	Sun-exposed slope
2707	Plain
2707	Shadow-exposed slope
2707	Sun-exposed slope
2708	Sun-exposed slope
2709	Plain
2709	Sun-exposed slope
2709	Shadow-exposed slope
2710	Sun-exposed slope
2710	Plain
2710	Shadow-exposed slope
2711	Sun-exposed slope
2711	Plain
2711	Shadow-exposed slope
2712	Plain
2712	Shadow-exposed slope
2712	Sun-exposed slope
2713	Plain
2714	Plain
2715	Plain
2715	Sun-exposed slope
2716	Plain
2717	Plain
2718	Plain
2719	Plain
2720	Plain
2721	Sun-exposed slope
2721	Shadow-exposed slope
2721	Plain
2722	Shadow-exposed slope
2722	Sun-exposed slope
2722	Plain
2723	Shadow-exposed slope
2723	Plain
2724	Shadow-exposed slope
2724	Plain
2725	Sun-exposed slope
2725	Shadow-exposed slope
2725	Plain
2726	Plain
2726	Sun-exposed slope
2727	Shadow-exposed slope
2728	Shadow-exposed slope
2728	Plain
2728	Sun-exposed slope
2729	Shadow-exposed slope
2730	Plain
2730	Shadow-exposed slope
2730	Sun-exposed slope
2731	Plain
2732	Sun-exposed slope
2732	Plain
2732	Shadow-exposed slope
2733	Sun-exposed slope
2733	Shadow-exposed slope
2733	Plain
2734	Shadow-exposed slope
2734	Plain
2734	Sun-exposed slope
2735	Plain
2736	Sun-exposed slope
2737	Plain
2738	Plain
2738	Shadow-exposed slope
2739	Shadow-exposed slope
2740	Shadow-exposed slope
2741	Plain
2742	Shadow-exposed slope
2743	Shadow-exposed slope
2744	Plain
2744	Sun-exposed slope
2745	Plain
2745	Sun-exposed slope
2746	Sun-exposed slope
2747	Sun-exposed slope
2747	Plain
2748	Sun-exposed slope
2748	Plain
2748	Shadow-exposed slope
2749	Plain
2749	Shadow-exposed slope
2750	Sun-exposed slope
2750	Shadow-exposed slope
2750	Plain
2751	Shadow-exposed slope
2752	Plain
2753	Sun-exposed slope
2754	Shadow-exposed slope
2754	Plain
2754	Sun-exposed slope
2755	Sun-exposed slope
2756	Sun-exposed slope
2756	Plain
2757	Shadow-exposed slope
2758	Sun-exposed slope
2758	Plain
2759	Sun-exposed slope
2759	Shadow-exposed slope
2760	Sun-exposed slope
2760	Shadow-exposed slope
2761	Sun-exposed slope
2761	Shadow-exposed slope
2761	Plain
2762	Shadow-exposed slope
2762	Sun-exposed slope
2763	Shadow-exposed slope
2763	Sun-exposed slope
2764	Sun-exposed slope
2764	Shadow-exposed slope
2764	Plain
2765	Shadow-exposed slope
2765	Sun-exposed slope
2766	Plain
2766	Shadow-exposed slope
2766	Sun-exposed slope
2767	Sun-exposed slope
2767	Plain
2767	Shadow-exposed slope
2768	Sun-exposed slope
2768	Plain
2769	Plain
2770	Plain
2771	Plain
2772	Shadow-exposed slope
2772	Plain
2772	Sun-exposed slope
2773	Sun-exposed slope
2774	Shadow-exposed slope
2774	Sun-exposed slope
2774	Plain
2775	Sun-exposed slope
2776	Sun-exposed slope
2777	Sun-exposed slope
2777	Shadow-exposed slope
2778	Sun-exposed slope
2779	Sun-exposed slope
2780	Sun-exposed slope
2781	Sun-exposed slope
2801	Plain
2801	Shadow-exposed slope
2802	Plain
2803	Plain
2804	Plain
2805	Plain
2806	Plain
2807	Plain
2808	Plain
2809	Sun-exposed slope
2810	Sun-exposed slope
2811	Plain
2812	Sun-exposed slope
2813	Plain
2813	Sun-exposed slope
2814	Sun-exposed slope
2814	Plain
2815	Plain
2815	Sun-exposed slope
2816	Sun-exposed slope
2817	Plain
2817	Sun-exposed slope
2818	Plain
2819	Plain
2819	Sun-exposed slope
2820	Plain
2820	Sun-exposed slope
2820	Shadow-exposed slope
2821	Plain
2822	Plain
2822	Sun-exposed slope
2823	Sun-exposed slope
2823	Plain
2824	Plain
2825	Plain
2826	Plain
2826	Sun-exposed slope
2827	Sun-exposed slope
2828	Plain
2829	Plain
2830	Plain
2831	Plain
3001	Sun-exposed slope
3001	Plain
3001	Shadow-exposed slope
3002	Sun-exposed slope
3003	Plain
3003	Sun-exposed slope
3004	Plain
3004	Shadow-exposed slope
3005	Shadow-exposed slope
3005	Sun-exposed slope
3006	Sun-exposed slope
3007	Sun-exposed slope
3008	Shadow-exposed slope
3009	Sun-exposed slope
3009	Shadow-exposed slope
3010	Sun-exposed slope
3010	Shadow-exposed slope
3011	Sun-exposed slope
3011	Shadow-exposed slope
3012	Shadow-exposed slope
3012	Plain
3012	Sun-exposed slope
3013	Plain
3013	Sun-exposed slope
3014	Sun-exposed slope
3014	Shadow-exposed slope
3081	Plain
3081	Sun-exposed slope
3081	Shadow-exposed slope
3082	Plain
3082	Sun-exposed slope
3082	Shadow-exposed slope
3083	Sun-exposed slope
3083	Plain
3083	Shadow-exposed slope
3084	Shadow-exposed slope
3084	Plain
3084	Sun-exposed slope
3110	Plain
3110	Shadow-exposed slope
3110	Sun-exposed slope
3111	Plain
3111	Shadow-exposed slope
3111	Sun-exposed slope
3114	Shadow-exposed slope
3114	Sun-exposed slope
3114	Plain
3115	Shadow-exposed slope
3115	Plain
3115	Sun-exposed slope
3120	Sun-exposed slope
3120	Plain
3120	Shadow-exposed slope
3121	Plain
3130	Plain
3130	Shadow-exposed slope
3130	Sun-exposed slope
3140	Plain
3140	Shadow-exposed slope
3140	Sun-exposed slope
3141	Shadow-exposed slope
3141	Sun-exposed slope
3141	Plain
3142	Plain
3142	Plain
3150	Shadow-exposed slope
3150	Plain
3150	Sun-exposed slope
