# Community_BERN5_ID	Plant_BERN5_ID	Plant_is_constant	Charakterart	Community_Name	Plant_Name	is dominant
2410	159	1	1	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Pleurozium schreberi	dominant
2410	182	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Dicranum undulatum	subdominant
2410	494	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Sphagnum squarrosum	
2410	3009	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Andromeda polifolia	subdominant
2410	3035	1	1	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Calluna vulgaris	subdominant
2410	3108	0	1	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Eriophorum vaginatum	
2410	3142	1	1	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Ledum palustre	subdominant
2410	3163	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Molinia caerulea	dominant
2410	3198	1	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Pinus sylvestris sylvestris	dominant
2410	3279	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Sphagnum palustre	subdominant
2410	3280	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Sphagnum recurvum	subdominant
2410	3311	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Betula pubescens	subdominant
2410	3312	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Vaccinium myrtillus	dominant
2410	3313	0	1	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Leucobryum glaucum	subdominant
2410	3314	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Vaccinium vitis-idaea	dominant
2410	3316	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Sphagnum capillifolium	subdominant
2410	3319	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Vaccinium uliginosum	dominant
2410	3329	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Sphagnum girgensohnii	subdominant
2410	3330	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Lycopodium annotinum	
2410	5023	0	1	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Scapania carinthiaca	
