# Community_BERN5_ID	Community_Name	community_Synonyme	Naturalness level	use_type_Text	EUNIS_Code	Natura2000	Sources_plots	account_plots
49	Myriophyllo-Nupharetum lutaea HUECK 1931	Nymphaeo-Nupharetum luteae NOWINSKI 1927 incl. Myriophylletum verticillatae SOÓ 1927, Nymphaeetum albo-luteae Nowinski 1928	(semi-)aquatic community	unusable	C1.2	3150v	Passarge 1964 Table7a-b (also Linhard 1964 Tab. Ib; Pott 1980 Tab. 10/54-64 + p. 51; Oberdorfer 1998 Vol I Table 20/19a-c, Tüxen 1937 p.48; Soó 1964b p. 136; Reichhoff et Schnelle 1977 Tab. II/8 rel. 32-35 + p. 434; Pujol et al. 2023 p. 91; Chytry et al. 	908
52	Potamogetono-Nupharetum TH. MÜLLER et GÖRS 1960		(semi-)aquatic community	unusable	C1.3	3150v	Passarge 1964 Table7c (also Dierßen 1973b Tab. 5a + p. 23; Tüxen 1974 Tab. 3 + p. 46)	23
53	Nymphaeetum candidae MILJAN 1933	Potamogetono-Nymphaeetum candidae Hejný 1948 nom. invalid.	(semi-)aquatic community	unusable	C1.1	3150v	Passarge 1996 Tab. 33a-b p.94 (also: Chytry et al. 2011 tab. 3/3 p.117+114)	27
54	Nymphaeetum albo-minoris VOLLMAR 1947	included in Myriophyllo-Nupharetum Koch 1926	(semi-)aquatic community	unusable	C1.1	3150v	Passarge 1964 Table7e (also Oberdorfer 1998 Vol I Table 20/20a-c; Chytry et al. 2011 tab. 3/2 p. 117+111; Schubert 2001 p. 276; Donita et al. 2005 p. 71; Fariselli et al. 2024 Tab. 03.8A-C)	55
55	Nupharetum pumilae OBERDORFER 1957	Nupharetum pumilae Oberd. 1957 ex Th. Müller et Görs 1960	(semi-)aquatic community	unusable	C1.1	3150v	Oberdorfer 1998 Vol I Table 20/21a-c (also: Chytry et al. 2011 tab. 3/4 p. 117+118)	31
56	Polygono-Potamogetonetum natantis SOÓ 1964	Potamogetono-Polygonetum natantis KNAPP et STOFFERS 1962; Polygonetum amphibii DOLL 1980	(semi-)aquatic community	unusable	C1.1	3150v	Passarge 1996 Tab. 20f p. 57 (also: Köck 1983 Tab. 6 + p. 160; Schubert 2001 p. 276; Pujol et al. 2023 p. 92; Chytry et al. 2011 tab. 3/7 p. 117+127)	170
57	Potamogetonetum crispi SOÓ 1927		(semi-)aquatic community	unusable	C1.3	3150	Chytry et al. 2011 tab. 4/18 p. 147+193 (also Soó 1964b p. 134; Weisser 1970 Tab. 15/63-65 + p. 60)	134
58	Potamogetonetum pusilli SOÓ 1927		(semi-)aquatic community	unusable	C1.3	3150	Chytry et al. 2011 tab. 4/21 p. 147+202 (also Quesada et al. 2011 p. 144)	69
59	Trapetum natantis TH. MÜLLER et GÖRS 1960	Trapetum natantis Kárpáti 1963	(semi-)aquatic community	unusable	C1.3	3150v	Oberdorfer 1998 Vol I Table 20/18a-b (also Passarge 1996. tab. 32b, p. 91; Philippi 1980 p. 76; Schubert 2001 p. 277; Pujol et al. 2023 p. 93; Chytry et al. 2011 tab. 3/5 p. 117+121; Donita et al. 2005 p. 71; Fariselli et al. 2024 Tab. 03.6)	93
60	Nymphoidetum peltatae ALLORGE 1922	Nymphoidetum peltatae Bellot 1951 nom. mutat. propos.	(semi-)aquatic community	unusable	C1.3	3150v	Oberdorfer 1998 Vol I Table 20/17a-c (also Schubert 2001 p. 277; Soó 1964b p. 136; Pott 1980 Tab. 12/12-22 + p. 60; Pujol et al. 2023 p. 92; Westhoff 1969 p. 51 and Schaminée et al. 2010 p. 102; Donita et al. 2005 p. 71; Fariselli et al. 2024 Tab. 03.7A-D	292
