# Community_BERN5_ID	Community_Name	community_Synonyme	Naturalness level	use_type_Text	EUNIS_Code	Natura2000	Sources_plots	account_plots
4784	Rosmarino officinalis-Coridothymetum capitati FURNARI 1965		semi-natural pasture/natural shrubland	unusable	S612		Giusso del Galdo et al. 2008 tab. 15	6
4785	Calluno-Antennarietum dioicae TÜXEN 1937	Calluna-Antennaria-Ass. Tüxen 1937	semi-natural pasture	extensive grazing	S422		Tüxen 1937 p. 121 (also Preising 1953 Tab. 6 + p. 119)	13
4786	Erico-Genistetum pilosae  OBERDORFER et A. HOFMANN 1967		natural heath	Weakly grazed	S422		Oberdorfer et A. Hofmann 1967 Tab. 4 + p. 114 (also: Fariselli et al. 2024 Tab. 42.1 p. 523)	19
4787	Dictamnetum hispanici BOLÒS 1956		natural heath	Weakly grazed	S422		Bolòs 1956 Tab. XXV p. 229 (also: Bolòs 1973 Tab. 4/3,4 + p. 289)	6
4788	Violeto (caninae)-Callunetum BOLÒS 1956	Violo caninae-Callunetum O. Bolòs 1956	natural heath	Weakly grazed	S42413		Bolòs 1956 Tab. XXVI/1-6 + p. 231	6
4789	Cytiseto (supini)-Callunetum BOLÒS 1956		natural heath	Weakly grazed	S42413		Bolòs 1956 Tab. XXVI/7-10+ p. 231	4
4799	Centaureo (nigrae)-Cynosuretum (cristati) BRAUN-BLANQUET et TÜXEN 1951		semi-natural pasture	extensive grazing	R2112	6510	Braun-Blanquet et Tüxen 1951 Tab. 29 + p. 284	26
4800	Lolio perennis-Cynosuretum cristati typicum TÜXEN 1937	Lolio perennis-Cynosuretum cristati typicum Tx. 1937	semi-natural pasture	extensive grazing	R211	6510	Tüxen 1937 p. 101 (also Passarge (1964) Table 68e-g; Soó 1964b p. 175; Krisch 1967 Tab. IF + p. 386; Klemm 1970 Tab. 21/5,6 + p. 5; Dierßen 1973b Tab. 17b + p. 44; Tüxen 1974 Tab. 12; Fink 1977 tab. 27 p. 176; Glavac et Raus 1982 Tab. 10 + p. 85; Pujol et	202
4801	Lolio perennis-Cynosuretum cristati ranunculetosum bulbosi TÜXEN 1937	Lolio perennis-Cynosuretum cristati ranunculetosum bulbosi Tx. 1937	semi-natural pasture	extensive grazing	R211	6510	Passarge (1964) Table 68i (also Lohmeyer 1953 p. 71; Klemm 1970 Tab. 21/7,8 p. p. 5; Oberdorfer 1993 Vol III, Table 234/9; Soó 1964b p. 172)	69
4803	Festuco rubrae-Cynosuretum TÜXEN 1940		semi-natural pasture	extensive grazing	R211	6510	Passarge (1964) Table 68h (also Soó 1964b p. 175; Glavac et Raus  1982 Tab. 9 + p. 85; Shelyag-Sosonko et al. 1987 tab. 10 p. 146; Schubert 2001 p. 433)	108
4880	Potentilla reptans-Inula britannica-Gesellschaft PASSARGE 1964		semi-natural pasture	extensive grazing	R212		Passarge (1964) Table 51f-k	9
4907	Salvieto-Euphorbietum pilosae BOLÒS 1956		tall herbs under non typical native trees	unusable	V391		Bolòs 1956 Tab. XX + p. 211	13
4908	Polygono lapathifolii-Xanthietum italici PIROLA et ROSSETTI 1974		(semi-)aquatic community	unusable	Q61		Pirola et Rossetti 1974 Tab. 1+2 (also: Biondi et Baldoni 1994 in Fariselli et al. 2024 Tab. 05.4C; Biondi et al. 1997 in Fariselli et al. 2024 Tab. 05.4D; Assini 1998 in Fariselli et al. 2024 Tab. 05.4E; Biondi et al. 1999 in Fariselli et al. 2024 Tab. 0	66
4909	Chenopodio boni-henrici-Rumicetum obtusifolii OBERDORFER 1957	Rumici-Chenopodietum Oberdorfer 1957	anthropogenic rural	unusable	V372		Gutte et Hilbig 1974 Tab. 4/1 + p. 19 (also: Oberdorfer 1993 Tab. 186/3Ec; Passarge 1964 Tab.43 + p. 127)	249
4910	Polygono-Chenopodietum rubri LOHMEYER 1950		anthropogenic rural 	Mowing twice, subsequent grazing	R5511	3270	Lohmeyer 1950b p.12 (also Lohmeyer 1953 p. 73; Krisch 1967 Vol. 2 Tab. VII/272-275 + p. 64; Schubert 2001 p. 488)	67
4911	Mesembryanthemetum crystallino-nodiflori O. BOLÓS 1957		disturbed habitats	unusable	V391		Bartolo et al. 1982 tab. 26	10
4912	Hordeo leporini-Sisymbrietum orientalis OBERDORFER 1954		disturbed habitats	unusable	V391		Brullo 1983 table 4 	12
4913	Atriplici halimi-Artemisietum arborescentis BIONDI 1988		disturbed habitats	unusable	V391		Brullo et al. 1988 table 3	19
4914	Lamio-Conietum OBERDORFER 1957	Galio aparines-Conietum maculati RIVAS-MARTINEZ ex LOPEZ 1978;	disturbed habitats	unusable	V391		Oberdorfer 1957 p. 73 (also: Brullo et Marcenò 1985 table 44; Schubert 2001 p. 568)	42
4915	Silybo mariani-Urticetum piluliferae BRAUN-BLANQUET 1936		anthropogenic rural	unusable	V391		Brullo et al. 1993 table 14	6
4916	Centaureo sphaerocephalae-Ononidietum ramosissimae BRAUN-BLANQUET et FREI 1937		natural tall-herb community	unusable	N162		Bartolo et al. 1982 tab. 10	26
4917	Heliotropio supini-Heleochloetum schoenoidis RIVAS-GODAY 1956		(semi-)aquatic community	unusable	Q63		Brullo et Marceno 1974 tab. 1	29
4918	Potentillo anserinae-Agrostietum stoloniferae R. ALONSO, LENCE, PUENTE, PENAS et F. SALEGUI 2002		anthropogenic rural	intensive grazing	R36		Tüxen et Böckelmann 1957 Tab. 2; Rivas-Martinez 2002 Tab. 72 p. 170	8
4919	Glycerio declinatae-Alopecuretum aequalis RIVAS-MARTíNEZ, FERNÁNDEZ-GONZÁLEZ, SÁNCHEZ-MATA et SARDINERO 2002		(semi-)aquatic community	unusable	Q61 		Rivas-Martinez 2002 Tab. 47 p. 114	8
4920	Potentilletum anserinae RAPAICS 1927	Potentillion anserinae-Basalass.; . Lolio-Potentilletum anserinae Knapp 1946,	semi-natural pasture	extensive grazing	R212		Passarge (1964) Table 49a-d (also: Soó 1964b p. 226; Gutte et Hilbig 1974 Tab.  9/2 + p. 32; Pujol et al. 2023 p. 150; Schubert 2001 p. 503)	258
4921	Polygonetum hydropiperis PASSARGE 1965	Bidenti-Polygonetum hydropiperis Lohmeyer in Tx. 1950 nom.; Persicario hydropiperis - Bidentetum tripartitae (Koch 1926) Sissingh in Westhoff, van Dijk, Passchier & Sissingh 1946	(semi-)aquatic community	unusable	Q61		Passarge (1964) Table 24a-b (also Tüxen et Oberdorfer 1958 Tab. 3; Philippi 1980 Tab. 6 p. 89; Oberdorfer (1993) Vol III, Table 161/1a1,1a2; Soó 1964b p. 217;  Pujol et al. 2023 p. 111; Chytry et al. 2011 tab. 8/12 p. 342+368; Schubert 2001 p. 480; Donita	231
4922	Ranunculetum scelerati SISSINGH 1946 em TÜXEN 1950		semi-natural grassland	unusable	R212		Passarge (1964) Table 24d-g (also Lienenbecker 1971 Tab. 6c,d + p. 77; Philippi 1980 Tab. 5 p. 84; Oberdorfer (1993) Vol III, Table 163/3b; Pujol et al. 2023 p. 111; Chytry et al. 2011 tab. 8/7 p. 342+351; Schubert 2001 p. 482)	178
4923	Bidentetum cernuae SLAVNIC 1951		(semi-)aquatic community	unusable	Q61		Chytry et al. 2011 tab. 8/9 p. 342+359 (also Soó 1964b p. 217)	92
4924	Bidentetum radiatae ROYER 1974		(semi-)aquatic community	unusable	Q61		Chytry et al. 2011 tab. 8/11 p. 342+365	35
4925	Bidentetum tripartitae MILJAN 1933		(semi-)aquatic community	unusable	Q61		Chytry et al. 2011 tab. 8/8 p. 342+355  (also Soó 1964b p. 216; Lienendecker 1971 Tab. 6/a,b + p. 77; Belmonte 2008 Tab. 124 p. 493; Donita et al. 2005 p. 294; Vukotic et al. 2022 App.3 p. 76; Fariselli et al. 2024 Tab. 05.1)	124
4926	Poo compressae-Tussilaginetum farfarae TÜXEN 1931	Tussilaginetum farfarae Oberdorfer 1949	disturbed habitats in forests	unusable	V372		Schubert 2001 p. 563 (also: Chytry et al. 2009 tab. 6/8 p. 220+238; Soó 1964b p. 223; Oprea 2006/2007 Tab. 6 p. 107; Tabasevic et al. 2023 p. 9)	138
4927	Potentillo argenteae-Artemisietum absinthii FALINSKI 1965		disturbed habitats in forests	unusable	V372		Chytry et al. 2009 tab. 6/3 p. 220+216	29
4928	Hordeetum murini LIBBERT 1932		disturbed habitats in forests	unusable	V372		Braun-Blanquet et Tüxen 1951 Tab. 8 and p. 243 (also Westhoff 1969 p. 87; Lienenbecker 1971 Tab. 10c + p. 89; Hülbusch 1980 Tab. 7/1-5 + p. 63; Chytry et al. 2009 tab. 5/1 p. 171+164; Schaminée et al. 2010 p. 322; Schubert 2001 p. 531)	190
4929	Chenopodietum ruderale OBERDORFER 1957	Chenopodietum stricti (Oberdorfer 1957)  Passarge 1964	disturbed habitats in forests	unusable	V372		Gutte et Hilbig 1974 Tab. 1/5  + p. 7 (also: Schubert 2001 p. 540; Chytry et al. 2009 tab. 4/2 p. 138+133; Tabasevic et al. 2023 p. 10)	198
4930	Juncetum compressi BRAUN-BLANQUET ex LIBBERT 1932	Junco compressi-Trifolietum repentis Eggler 1933	semi-natural pasture	extensive grazing	R212		Passarge (1964) Table 50d-e (also Soó 1964b p. 227; Böcker 1978 Tab. 12/8-14 p. 86; Schubert 2001 p. 493; Bergmeier et Papaioannou 2008 Tab. 1/17-19 p. 294)	71
4933	Geranio sanguinei-Peucedanetum cervariae T. MÜLLER 1962		natural tall-herb community	extensive grazing	R1B2		T. Müller Tab. 1/5 + p. 110 (also Dierschke 1974 Tab. 1/8-11; Zündorf 1980 Veg.tab. 6 p. 18; Hilbig et al. 1982 Tab. 1 + p. 215; Schubert 2001 p. 174;  Chytry et al. 2007 tab. 11/12 p. 437 +463)	390
4934	Adonido-Peucedanetum cervariae PASSARGE 1979	Thalictro mini-Geranietum sanguinei KORNECK 1974	anthropogenic rural	unusable	R1B2		Berg et al. 2004 Text p. 378 Table 25.3.2.3	28
4935	Onopordetum acanthii BRAUN-BLANQUET (1923) 1936	Onopordetum acanthii Libbert 1932	anthropogenic rural 	unusable	R211		Passarge (1964) Table 40g (also Oberdorfer (1993) Vol III, Table 184/7; Soó 1964b p. 221; Gutte et Hilbig 1974 Tab. 2/3 + p. 14; Pujol et al. 2023 p. 314; Chytry et al. 2009 tab. 6/1 p. 220+211; Schubert 2001 p. 551; Donita et al. 2005 p. 370; Tabasevic e	212
4936	Corispermetum leptopterum (SISSINGH 1950) KORNECK 1974	Bromus tectorum-Corisper-mum hyssopifolium-associatie (Kruseman 1941) Sissingh et Westhoff 1946	anthropogenic rural 	Mowing twice, subsequent grazing	R211		Passarge (1964) Table 28 d-e (also Bornkamm 1977 Tab. 1/1-6; Chytry et al. 2009 tab. 5/10 p. 171+190; Westhoff 1969 p. 88 and Schaminée et al. 2010 p. 318; Schubert 2001 p. 548)	76
4937	Sisymbrio-Atriplicetum nitentis (KNAPP 1945) OBERDORFER 1957	Sisymbrio-Atriplicetum nitentis Oberd. ex Mahn et R. Schubert 1962	anthropogenic rural 	Mowing twice, subsequent grazing	R211		Passarge (1964) Table 27 e-f (also Gutte et Hilbig 1974 Tab. 1/9 + p. 10; Schubert 2001 p. 539; Chytry et al. 2009 tab. 4/3 p. 138+135)	289
4938	Bromo-Hordeetum murini LOHMEYER 1959		anthropogenic rural 	unusable	R211		Passarge (1964) Table 26 e-f (also: Pujol et al. 2023 p. 322; Soó 1964b p. 219; Gutte et Hilbig 1974 Tab. 1/11 + p. 11; Chytry et al. 2009 tab. 5/2 p. 171+168)	209
4939	Agropyro-Convolvuletum arvensis FELFÖLDY 1943		anthropogenic rural 	unusable	R211		Passarge (1964) Table 29 a-c (also Soó 1964 p. 220; Lienenbecker 1971 Tab. 10a + p. 87; Gutte et Hilbig 1974 Tab. 6/1 + p. 22; Chytry et al. 2009 tab. 7/1 p. 270+259; Schubert 2001 p. 507; Donita et al. 2005 p. 368; Tabasevic et al. 2023 p. 9; Fariselli e	377
4940	Plantagini-Lolietum perennis BEGER 1930	Lolio – Plantaginetumnajoris (Linkola 1921) Berger 1950,Sclerochloo – Polygonetum avicularis(Gams 1927) Soó 1940	anthropogenic rural	Mowing twice, subsequent grazing	R211		Passarge (1964) Table 46a-e (also: Braun-Blanquet et Tüxen 1951 Tab. 9 and p. 244; Tüxen et Oberdorfer 1958 Tab. 22 p.70; Pujol et al. 2023 p. 307; Soó 1964b p. 225; Hülbusch 1980 Tab. 3 + p. 58; Chytry et al. 2007 tab. 5/10 p. 182+203; Westhoff 1969 p. 1	884
4941	Valeriano-Filipenduletum SISSINGH 1946	included in Filipendulo-Geranietum palustris W. Koch 1926	natural tall-herb community	unusable	R5512	6430	Braun-Blanquet et Tüxen 1951 Tab. 30 + p. 291 (also Westhoff 1969 p. 182 and Schaminée et al. 2010 p. 331; Oberdorfer (1993) Vol III, Table 222/3c; Lienenbecker 1971 Tab. 26a + p. 128; Schubert 2001 p. 456)	326
4942	Scutellario hastifoliae-Veronicetum longifoliae WALTHER 1955		natural tall-herb community	unusable	R5511	6430	Passarge (1964) Table 55h (also Chytry et al. 2007 tab. 6/7 p. 216+236; Schubert 2001 p. 207)	23
4943	Xanthio riparii-Chenopodietum rubri LOHMEYER et WALTHER 1950	Chenopodietum rubri Timár 1947	anthropogenic rural 	Mowing twice, subsequent grazing	R5511	3270	Passarge (1964) Table 25a (also: Lohmeyer 1950b p. 17-19; Soó 1964b p. 217; Chytry et al. 2011 tab. 8/10 p. 342+362; Schubert 2001 p. 490)	91
4944	Veronico longifoliae-Euphorbietum palustris KORNECK 1963		natural tall-herb community	unusable	R5512	6430	Oberdorfer (1993) Vol III, Table 220/4a	23
4945	Plantagini-Polygonetum avicularis KNAPP 1945	Polygonetum avicularis Gams 1927	anthropogenic rural 	unusable	R211		Passarge (1964) Table 45 a-b (also Soó 1964b p. 226; Gutte et Hilbig 1974 Tab. 7/3 + p. 27; Chytry et al. 2009 tab. 2/1 p. 57+47; Schubert 2001 p. 522)	436
4946	Cnidio venosi-Violetum persicifoliae SEGAL 1966	Violo-Cnidietum Walther in Tx. 1955 ex Philippi 1960	natural tall-herb community	unusable	R353	6440	Oberdorfer (1993) Vol III, Table 220/21	182
4947	Urtico-Malvetum neglectae AICHINGER 1933	Hyoscyamo nigri-Malvetum neglectae Aichinger 1933	natural tall-herb community	unusable	R211		Passarge (1964) Table 26 b-d (also: Soó 1964 p. 220; Lienenbecker 1971 Tab. 10b + p. 87; Gutte at Hilbig 1974 Tab. 1/2 + p. 6; Pujol et al. 2023 p. 321; Schubert 2001 p. 535)	393
4948	Echio-Melilotetum albi TÜXEN 1942		anthropogenic rural 	unusable	R211		Passarge (1964) Table 40 c-d (also: Lienenbecker 1971 Tab. 12a + p. 95; Gutte et Hilbig 1974 Tab. 2/1 + p. 12Pujol et al. 2023 p. 314; Soó 1964b p. 221; Chytry et al. 2009 tab. 6/4 p. 220+228; Schubert 2001 p. 558)	176
4949	Tanaceto-Artemisietum vulgaris BRAUN-BLANQUET 1949	Tanaceto-Artemisietum Sissingh 1950	anthropogenic rural 	unusable	R211		Passarge (1964) Table 42 c-d (also: Lienenbecker 1971 Tab. 13a + p. 97; Gutte et Hilbig 1974 Tab. 3/1 + p. 15; Jeckel 1977Tab. 5/6-10 p. 247; Hülbusch 1980 Tab. 11 + p. 71; Pujol et al. 2023 p. 312; Soó 1964b p. 222; Chytry et al. 2009 tab. 6/10 p. 220+24	645
4950	Filipendulo ulmariae-Geranietum palustris (W. KOCH 1926) TÜXEN 1937	Filipendulo-Geranietum palustris W. Koch 1926	natural tall-herb community	unusable	R5512	6430	Tüxen (1937) p. 79 (also Eggler 1961 Tab. 2/7; Oberdorfer (1993) Vol III, Table 220/2; Soó 1964b p. 171; Ullmann 1972 p. 27 rel. 3-6; Glavac et Raus 1982 Tab. 17 + p. 95; Chytry et al. 2007 tab. 7/12 p. 251, 274; Schubert 2001 p. 455, Donita et al. 2005 p	319
4951	Soncho palustris-Archangelicetum litoralis TÜXEN 1937	Soncho-Archangelicetum litoralis Tx. 1937	natural tall-herb community	unusable	R55111	6430	Tüxen (1937) p. 78 (also Passarge (1964)  Table 44 a-b; Dierschke et Jeckel 1977 Tab. 2/8-10 p. 121; Schubert 2001 p. 205)	83
4952	Phalarido arundinacae-Petasiteum hybridi SCHWICKERATH 1933	Aegopodio — Petasitetum hybridi Tüxen 1947	natural tall-herb community	unusable	R5511	6430	Oberdorfer (1993) Vol III, Table 169/8 (also Soó 1964b p. 171; Lienenbecker 1971 Tab. 14b + p. 101; Chytry et al. 2009 tab. 8/5 p. 307+314; Schubert 2001 p. 217)	377
4953	Convolvulo-Eupatorietum cannabini (OBERDORFER et al. 1967) GÖRS 1974	Calystegio-Eupatorietum cannabini Görs 1974	natural tall-herb community	unusable	R5511	6430	Oberdorfer (1993) Vol III, Table 169/5 (also: Soó 1964b p. 229; Pujol et al. 2023 p. 156; Schubert 2001 p. 219)	55
4954	Cuscuto europaeae-Convolvuletum sepium R. TÜXEN 1947 ex LOHMEYER 1953	Cuscuto europaeae-Convolvuletum sepium Tx. 1947; Urtico-Convolvuletum sepium	natural tall-herb community	unusable	R5511	6430	Oberdorfer (1993) Vol III, Table 169/3 (also Lohmeyer 1953 p. 74; Soó 1964b p. 223; Görs et Müller 1969 Tab. A/7; Lienenbecker 1971 Tab. 14a + p. 99; Hilbig et al. 1972 Tab. 1/2 + p. 231; Chytry et al. 2009 tab. 8/1 p. 307+294; Schubert 2001 p. 201)	239
4955	Senecionetum fluviatilis (ZAHLHEIMER 1979) TH. MÜLLER 1983	Senecionetum fluviatilis Th. Müller ex Straka in Mucina 1993	natural tall-herb community	unusable	R5511	6430	Oberdorfer (1993) Vol III, Table 169/2 (also: Schubert 2001 p. 208)	52
4956	Convolvulo-Epilobietum hirsuti HILBIG, HEINRICH et NIEMANN 1972		natural tall-herb community	unusable	R5511	6430	Oberdorfer (1993) Vol III, Table 169/6 (also: Pujol et al. 2023 p. 157; Schubert 2001 p. 203)	43
4957	Convolvulo-Archangelicetum litoralis PASSARGE 1964	Soncho-Archangelicetum litoralis Tx. 1937	natural tall-herb community	unusable	R55111	6430	Passarge (1964) Table 44c-e (also: Dierschke et Jeckel 1977 Tab. 2/1-7 p. 121)	116
4958	Athyrietum alpestris SCHMID 1923	Athyrietum distentifolii Nordhagen 1928 nom. conserv. propos.	natural tall-herb community	unusable	R5611	6430	Chytry et al. 2007 tab. 3/13 p. 101+129 (also: Grabherr et Mucina (1993) Vol II p. 487)	21
4959	Centaureo montanae-Calamagrostietum arundinaceae J. et M. BARTSCH 1940	Centaureo montanae-Calamagrostietum arundinaceae J. Bartsch et M. Bartsch 1940; Sorbo-Calamagrostietum arundinaceae Oberd. 1957	natural tall-herb community	unusable	R562	6430	Carbiener 1969 Tab. 1/3 (also: Grabherr et Mucina (1993) Vol II p. 490)	28
4960	Calamagrostietum villosae SCHMID 1923		semi-natural pasture	extensive grazing	R562	6430	Schubert 2001 p. 193 (also Grabherr et Mucina (1993) Vol II p. 486)	13
4961	Cicerbitetum alpinae BOLLETER 1921	Ranunculo platanifolii-Adenostyletum alliariae (Krajina 1933) Dúbravcová et Hadač ex Kočí 201	semi-natural pasture	extensive grazing	R561	6430	Bolleter 1921 p. 86-88 (also: Grabherr et Mucina (1993) Vol II p. 471; Schubert 2001 p. 165; Chytry et al. 2007 Tab. 3/7 p. 101+116)	26
4962	Junco acutiflori - Filipenduletum ulmariae DE FOUCAULT 1981		natural tall-herb community	unusable	R5512		De Foucault 1981 Tab. 15 p. 51	24
4963	Senecioni-Epilobietum angustifolii HUECK 1931	Epilobio angustifolii-Senecionetum sylvatici (HUECK 1931) R. Tx. 1937 emend. 1950	natural tall-herb community	unusable	R571		Lutz 1950 Tab. 10 (also Soó 1964b p. 228; Westhoff 1969 p. 126 and Schaminée et al. 2010 p. 344; Lienenbecker 1971 Tab. 17a + p. 105; Schubert 2001 p. 191; Chytry et al. 2009 tab. 10/1 p. 391+383)	238
4964	Digitali purpureae-Epilobietum angustifolii SCHWICKERATH 1944		disturbed habitats in forests	unusable	R571		Chytry et al. 2009 tab. 10/2 p. 391+386 (also: Lienenbecker 1971 Tab. 17b + p. 105; Schubert 2001 p. 191)	36
4965	Calamagrostio arundinaceae-Digitalietum grandiflorae OBERDORFER 1978	Rubo idaei-Calamagrostietum arundinaceae Fajmonová 1986	disturbed habitats in forests	unusable	R571		Carbiener 1969 Tab. 1/4-5 + p. 334 (also: Fink 1977 p. 205; Oprea 2006/2007 tab. 7 p. 108; Chytry et al. 2009 tab. 10/3 p. 391+388)	36
4966	Junco effusi-Calamagrostietum villosae SYKORA 1983	Trientali europaeae-Calamagrostietum villosae Hilbig et Wagner 1990	disturbed habitats in forests	unusable	R571		Chytry et al. 2009 tab. 10/4 p. 391+395 (also: Schubert 2001 p. 193)	71
4967	Digitali-Senecionetum ovati PFEIFFER 1936	Senecionetum fuchsii Kaiser 1926	semi-natural pasture	extensive grazing	R571		Chytry et al. 2009 tab. 10/5 p. 391+397	30
4968	Pteridietum aquilinae  JOUANNE et CHOUARD 1929	Rubo-Pteridietum aquilini Hadač 1975, Holco mollis-Pteridietum aquilini Passarge 1994	disturbed habitats in forests	unusable	R571		Chytry et al. 2009 tab. 10/6 p. 391+400	12
4969	Artemisio vulgaris-Echinopsietum sphaerocephali ELIAS 1979		disturbed habitats in forests	unusable	V372		Chytry et al. 2009 tab. 6/11 p. 220+248	65
4970	Rudbeckio-Solidaginetum R. TÜXEN et RAABE 1950		disturbed habitats in forests	unusable	V372		Schubert 2001 p. 571 (also: Chytry et al. 2009 tab. 6/12 p. 220+251; Soó 1964b p. 223)	148
4971	Urtico urentis-Chenopodietum boni-henrici TÜXEN 1937	-Chenopodietum boni-henrici TÜXEN 1931 em. Lohmeier 1950	disturbed habitats in forests	unusable	V372		Gutte et Hilbig 1974 Tab. 3/2 + p. 16 (also: Schubert 2001 p. 570; Chytry et al. 2009 tab. 7/6 p. 270+277)	313
4972	Arctietum lappae FELFÖLDY 1942		disturbed habitats	unusable	V372		Schubert 2001 p. 566 (also: Chytry et al. 2009 tab. 7/7 p. 270+281)	82
4973	Sambucetum ebuli FELFÖLDY 1942		disturbed habitats	unusable	V372		Chytry et al. 2009 tab. 7/9 p. 270+286  (also Soó 1964b p. 222; Gutte et Hilbig 1974 p. 19; Schaminée et al. 2010 p. 343; Tabasevic et al. 2023 p. 8; Fariselli et al. 2024 Tab.28.4A-C)	63
4974	Impatientetum glanduliferae GÖRS et MÜLLER 1975	Calystegio sepium-Impatientetum glanduliferae Hilbig 1972	disturbed habitats	unusable	V372		Chytry et al. 2009 tab. 8/3 p. 307+301	81
4975	Epilobio montani-Geranietum robertiani LOHMEYER ex GÖRS et MÜLLER 1969		disturbed habitats	unusable	V372		Chytry et al. 2009 tab. 8/3 p. 307+324 (also: Schubert 2001 p. 227)	111
4976	Alliario petiolatae-Chaerophylletum temuli LOHMEYER 1955		disturbed habitats in forests	unusable	R553		Hilbig et al. 1972 Tab. 6/2 + p. 252 (also Westhoff 1969 p. 119 and Schaminée et al. 2010 p. 340; Görs et T. Müller 1969 Tab. 1/16; Lienenbecker 1971 Tab. 14d + p. 102; Holzner et al. 1978 Tab. 2/12 + p. 107; Chytry et al. 2009 tab. 9/1 p. 345+336; Schube	364
4977	Agropyro repentis-Aegopodietum podagrariae TÜXEN 1967		disturbed habitats in forests	unusable	R553		Hilbig et al. 1972 Tab. 5/1 + p. 249 (also: Lienenbecker 1971 Tab. 14c + p. 101; Chytry et al. 2009 tab. 9/4 p. 345+350; Schubert 2001 p. 213)	369
4978	Symphyto officinalis-Anthriscetum sylvestris PASSARGE 1975	Anthriscetum sylvestris Hadač 1978; Symphyto officinalis-Anthriscetum sylvestris PASSARGE 1975	disturbed habitats in forests	unusable	R553		Chytry et al. 2009 tab. 9/5 p. 345+353	102
4979	Chaerophylletum aromatici NEUHÄUSLOVA-NOVOTNA et al. 1969	Agropyro repentis-Aegopodietum podagrariae chaerophylletosum aurei Tüxen 1967	disturbed habitats in forests	unusable	R553		Hilbig et al. 1972 Tab. 3/8 + p. 245 (also: Chytry et al. 2009 tab. 9/6 p. 345+355)	173
4980	Chaerophylletum aurei OBERDORFER 1957	Agropyro repentis-Aegopodietum podagrariae chaerophylletosum aromatici Tüxen 1968	disturbed habitats in forests	unusable	R553		Hilbig et al. 1972 Tab. 3/4 + p. 237 (also Soó 1964b p. 223; Schubert 2001 p. 215; Chytry et al. 2009 tab. 9/7 p. 345+357)	92
4981	Chaerophylletum bulbosi TÜXEN 1937	Conio-Chaerophylletum bulbosi Pop 1968	disturbed habitats in forests	unusable	R553		Chytry et al. 2009 tab. 9/8 p. 345+360  (also Soó 1964b p. 223; Schubert 2001 p. 214)	86
4982	Anthrisco nitidae-Aegopodietum podagrariae KOPECKY 1974		disturbed habitats in forests	unusable	R553		Chytry et al. 2009 tab. 9/9 p. 345+363 (also: Schubert 2001 p. 217)	21
4983	Helianthetum decapetali MORARIU 1967	Oenothero biennis-Helianthetum tuberosi de Bolos et al. 1988	disturbed habitats in forests	unusable	R553		Görs et T.Müller 1969 Tab. A/5 (also: Chytry et al. 2009 tab. 9/10 p. 345+365; Schubert 2001 p. 211)	90
4984	Urtico dioicae-Heracleetum mantegazziani KLAUCK 1988		disturbed habitats in forests	unusable	R553		Chytry et al. 2009 tab. 9/11 p. 345+368 (also: Schubert 2001 p. 220)	25
4985	Asteretum lanceolati  HOLZNER et al. 1978		disturbed habitats in forests	unusable	R553		Chytry et al. 2009 tab. 9/12 p. 345+370	43
4986	Reynoutrietum japonicae GÖRS et MÜLLER 1975		disturbed habitats in forests	unusable	R553		Chytry et al. 2009 tab. 9/13 p. 345+373 (also: Tabasevic et al. 2023 p. 8)	60
4987	Rumicetum alpini BEGER 1922		disturbed habitats in forests	unusable	R553		Walas 1933 tab. XIII p. 98  (also: Chytry et al. 2009 tab. 9/14 p. 345+377; Schubert 2001 p. 325; Dullinger et al. 2001 p. 103)	25
4988	Sagino-Bryetum argentei DIEMONT, SISSINGH et WESTHOFF 1940		anthropogenic rural	unusable	R211		Westhoff et Den Held 1969 p. 91 (also Tüxen et Oberdorfer 1958 p.67; Lienenberger 1971 Tab. 15a + p. 102; Gutte et Hilbig 1974 Tab. 7/1 + p. 25; Hülbusch 1980 Tab. 2 + p. 57; Schaminée et al. 2010 p. 185; Schubert 2001 p. 516)	232
4989	Asplenio-Cheiranthetum cheiri SEGAL 1962		anthropogenic rural	unusable	R211		Westhoff et Den Held 1969 p. 66 (also Schaminée et al. 2010 p. 260)	7
4990	Echio-Verbascetum SISSINGH 1950		anthropogenic rural	unusable	R211		Westhoff et Den Held 1969 p. 93 (also Schaminée et al. 2010 p. 324)	73
4991	Chenopodio boni-henrici-Senecietum durieui RIVAS-MARTÍNEZ 1963		anthropogenic rural	unusable	V372		Rivas-Martinez et al. 1984 Tab. 60 p. 192	5
4992	Onopordetum acantho-nervosi  RIVAS-MARTÍNEZ 1987		anthropogenic rural	unusable	V372		Penas Merino et al. 1987 Tab. 3, p. 71 (also: Rivas-Martinez et al. 2002 tab. 67 p. 152)	20
4993	Epilobio brachycarpi-Chenopodietum opulifolii RIVAS-MARTíNEZ, C. NAVARRO et CANTÓ 2002		anthropogenic rural	unusable	V38		Rivas-Martinez 2002 Tab. 38 p. 100	7
4994	Silybetum hispanici RIVAS-MARTíNEZ, CANTÓ, M.B. CRESPO et SÁNCHEZ-MATA 2002		anthropogenic rural	unusable	V391		Rivas-Martinez 2002 Tab. 90 p. 207+206	6
4995	Senecioni-Rumicetum alpini HORVAT 1919 em. COLDEA 1986	Urtico dioicae – Rumicetum alpini Serbãnescu 1939	natural tall-herb community	unusable	R568	6430	Donita et al. 2005 p. 161 (also: Höpflinger 1957 Tab. 12)	24
