# ART_BERN5_ID	Plant_Name	pH_min	BS_min	CN_min	WI_min	CI_min	VP_min	CWB_min	pH_optmin	BS_optmin	CN_optmin	WI_optmin	CI_optmin	VP_optmin	CWB_optmin	pH_optmax	BS_optmax	CN_optmax	WI_optmax	CI_optmax	VP_optmax	CWB_optmax	pH_max	BS_max	CN_max	WI_max	CI_max	VP_max	CWB_max
135	Primula elatior	4.4	21	12	8	8	65	-46	5	36	15	18	13	96	-12	6.8	84	27	49	34	189	88	7.5	100	31	60	41	220	122
137	Solanum dulcamara	3.7	12	10	33	33	115	-46	4.5	29	14	38	10	136	-23	7.1	82	27	54	25	199	46	8	100	32	60	30	220	69
138	Avenella flexuosa	3	3	8	4	4	40	-46	3.4	8	18	15	13	76	-12	4.9	26	49	48	34	184	88	5.4	32	60	60	41	220	122
139	Hedera helix	3	3	12	6	6	110	-46	4	22	15	13	13	152	-12	7	80	27	34	34	278	88	8	100	31	42	41	320	122
140	Stellaria holostea 	3	3	8	4	4	110	-46	3.8	22	12	14	13	132	-12	6.2	80	27	47	34	198	88	7	100	32	58	41	220	122
141	Betula pendula	3	3	8	2	2	90	-46	4	22	18	13	13	124	-12	7	80	49	48	34	226	88	8	100	60	60	41	260	122
145	Pseudoscleropodium purum	3	3	14	4	4	115	-46	3.8	22	23	15	10	136	-23	6.2	80	50	48	25	199	46	7	100	60	60	30	220	69
147	Lonicera alpigena	4.6	24	15	6	6	115	-17	5.2	39	17	10	17	125	10	7.3	84	23	24	35	155	94	8	100	26	29	41	165	122
149	Valeriana dioica	3.3	6	12	32	32	90	-46	4	24	16	37	10	110	-23	6.2	81	28	54	25	170	46	7	100	33	60	30	190	69
156	Hypnum cupressiforme	3	3	12	4	4	90	-46	3.8	22	21	15	13	128	-12	6.2	80	50	48	34	242	88	7	100	60	60	41	280	122
157	Mnium hornum	3	3	11	4	4	90	-36	3.6	11	15	7	14	110	-4	5.5	36	27	19	34	170	90	6.2	45	32	23	41	190	122
158	Lonicera periclymenum	3	3	15	4	4	115	-22	3.8	22	18	15	14	144	-3	6.2	80	29	48	26	231	50	7	100	33	60	30	260	69
159	Pleurozium schreberi	3	3	8	4	4	40	-46	3.8	22	18	15	13	76	-12	6.2	80	49	48	34	184	88	7	100	60	60	41	220	122
160	Sorbus aucuparia	3	3	12	4	4	70	-46	3.8	22	21	15	13	100	-12	6.2	80	50	48	34	190	88	7	100	60	60	41	220	122
161	Dryopteris dilatata	3	3	8	4	4	90	-36	4	22	18	15	14	115	-4	7	80	49	48	34	190	90	8	100	60	60	41	215	122
162	Humulus lupulus	3.6	11	8	32	32	130	-46	4.2	28	12	37	10	148	-23	6.3	82	27	54	25	202	46	7	100	32	60	30	220	69
163	Rubus idaeus	3	3	8	4	4	65	-46	4	22	13	15	13	90	-12	7	80	28	48	34	165	88	8	100	33	60	41	190	122
164	Athyrium filix-femina	3	3	8	4	4	90	-46	4	22	12	15	13	128	-12	7	80	27	48	34	242	88	8	100	32	60	41	280	122
165	Pteridium aquilinum 	3	3	8	4	4	90	-46	3.8	22	18	15	11	138	-18	6.2	80	49	48	29	282	65	7	100	60	60	35	330	93
