GesID	SoilRef_ID	Legend_engl
7031	312	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
7031	371	Spodic Cambisols from hard argillaceous and silty slates with greywacke, sandstone, quartzite, and phyllite
7031	401	Stagnic and Spodic Gleysols from loamy and gritty cover sediments mixed with loess overlying sandstone and quartzite
7031	411	Frequently alternating Rendzic and Umbric Leptosols / Spodic and Vertic Cambisols / Haplic Luvisol / Stagnic Gleysols from limestone and marlstone, sandstone, siltstone, and claystone, and loessic loam overlying various rocks
7032	41	Gleyic Chernozems from calcareous clayey and silty sediments in the river valleys of the chernozem area
7032	152	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols from loess or loessic loam overlying various rocks
7032	164	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
7032	191	Frequently alternating Dystric and Spodic Cambisols / Rendzic Leptosols / Haplic Luvisols from slate, greywacke, and limestone, and loessic loam overlying various rocks
7032	192	Frequently alternating Rendzic and Umbric Leptosols / Spodic and Vertic Cambisols / Haplic Luvisol / Stagnic Gleysols from limestone and marlstone, sandstone, siltstone, and claystone, and loessic loam overlying various rocks
7032	216	Fluvisols / Gleysols from rapidly alternating sandy to clayey fluviatile sediments
7032	221	Calcaric Regosols / Calcaric Fluvisols from calcareous sandy to loamy sediments of river terraces
7032	250	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
7032	261	Eutric Cambisols / Stagnic Gleysols from calcareous loamy and sandy to gravelly morainic deposits mixed with loess
7032	276	Calcaric Regosols from loess alternating with Rendzic Leptosols from marlstone and limestone
7032	296	Stagnic Gleysols from loess or loessic loam overlying various rocks
7032	297	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols from various siliceous weathering products mixed with loess
7032	317	Rendzic Leptosols from slope deposits over limestone, marlstone, and dolomite alternating with Chromic Cambisols and Chromic Luvisols from silty and clayey material derived from limestone weathering
7032	323	Eutric and Chromic Cambisols from redeposited material derived from lime-stone, marlstone and dolomite weathering and Rendzic Leptosols from limestone
7032	371	Spodic Cambisols from hard argillaceous and silty slates with greywacke, sandstone, quartzite, and phyllite
7033	123	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
7033	137	Haplic Podzols / Dystric Regosols from dry dystrophic sand deposits
7033	183	Dystric Cambisols from quartzitic sandstones and conglomerates with low base status
7033	187	Cambic and Haplic Podzols from sandstone and quartzite with low base status
7034	62	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
7034	77	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Luvisols from boulder clay
7034	100	Dystric Podzoluvisols / Luvic Arenosols / Dystric Cambisols from sandy sediments overlying boulder clay
7034	152	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols from loess or loessic loam overlying various rocks
7034	159	Haplic Luvisols / Eutric Podzoluvisols / Eutric Cambisols from sandy loess overlying sand or loam
7034	176	Eutric Cambisols from marlstone and calcareous gravels
7035	84	Luvic Chernozems / Haplic Luvisols from boulder clay or glacial-lake sediments
7035	150	Haplic and Stagnic Chernozems from loess overlying claystone and marlstone
7035	284	Chernozems from loess and loess-like silty sediments
7035	285	Phaeozemic Luvisols / Luvic Phaeozems from loess or loessic loam
7036	216	Fluvisols / Gleysols from rapidly alternating sandy to clayey fluviatile sediments
7036	221	Calcaric Regosols / Calcaric Fluvisols from calcareous sandy to loamy sediments of river terraces
7036	250	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
7036	276	Calcaric Regosols from loess alternating with Rendzic Leptosols from marlstone and limestone
7036	317	Rendzic Leptosols from slope deposits over limestone, marlstone, and dolomite alternating with Chromic Cambisols and Chromic Luvisols from silty and clayey material derived from limestone weathering
7036	323	Eutric and Chromic Cambisols from redeposited material derived from lime-stone, marlstone and dolomite weathering and Rendzic Leptosols from limestone
7036	329	Vertic Cambisols / Stagnic Gleysols from marlstone and claystone weathering
7037	216	Fluvisols / Gleysols from rapidly alternating sandy to clayey fluviatile sediments
7037	221	Calcaric Regosols / Calcaric Fluvisols from calcareous sandy to loamy sediments of river terraces
7037	250	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
7037	276	Calcaric Regosols from loess alternating with Rendzic Leptosols from marlstone and limestone
7037	317	Rendzic Leptosols from slope deposits over limestone, marlstone, and dolomite alternating with Chromic Cambisols and Chromic Luvisols from silty and clayey material derived from limestone weathering
7037	323	Eutric and Chromic Cambisols from redeposited material derived from lime-stone, marlstone and dolomite weathering and Rendzic Leptosols from limestone
7037	329	Vertic Cambisols / Stagnic Gleysols from marlstone and claystone weathering
7038	216	Fluvisols / Gleysols from rapidly alternating sandy to clayey fluviatile sediments
7038	221	Calcaric Regosols / Calcaric Fluvisols from calcareous sandy to loamy sediments of river terraces
7038	250	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
7038	276	Calcaric Regosols from loess alternating with Rendzic Leptosols from marlstone and limestone
7038	317	Rendzic Leptosols from slope deposits over limestone, marlstone, and dolomite alternating with Chromic Cambisols and Chromic Luvisols from silty and clayey material derived from limestone weathering
7038	323	Eutric and Chromic Cambisols from redeposited material derived from lime-stone, marlstone and dolomite weathering and Rendzic Leptosols from limestone
7038	329	Vertic Cambisols / Stagnic Gleysols from marlstone and claystone weathering
7039	250	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
7039	261	Eutric Cambisols / Stagnic Gleysols from calcareous loamy and sandy to gravelly morainic deposits mixed with loess
7039	284	Chernozems from loess and loess-like silty sediments
7039	285	Phaeozemic Luvisols / Luvic Phaeozems from loess or loessic loam
7039	329	Vertic Cambisols / Stagnic Gleysols from marlstone and claystone weathering
7040	250	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
7040	261	Eutric Cambisols / Stagnic Gleysols from calcareous loamy and sandy to gravelly morainic deposits mixed with loess
7040	284	Chernozems from loess and loess-like silty sediments
7040	285	Phaeozemic Luvisols / Luvic Phaeozems from loess or loessic loam
7040	329	Vertic Cambisols / Stagnic Gleysols from marlstone and claystone weathering
7041	62	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
7041	84	Luvic Chernozems / Haplic Luvisols from boulder clay or glacial-lake sediments
7041	150	Haplic and Stagnic Chernozems from loess overlying claystone and marlstone
7041	152	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols from loess or loessic loam overlying various rocks
7041	159	Haplic Luvisols / Eutric Podzoluvisols / Eutric Cambisols from sandy loess overlying sand or loam
7041	176	Eutric Cambisols from marlstone and calcareous gravels
7041	216	Fluvisols / Gleysols from rapidly alternating sandy to clayey fluviatile sediments
7041	221	Calcaric Regosols / Calcaric Fluvisols from calcareous sandy to loamy sediments of river terraces
7041	236	Dystric Cambisols from sandy river-terrace deposits
7041	250	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
7041	252	Stagnic Gleysols from boulder clay with a loamy to sandy cover
7041	257	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
7041	276	Calcaric Regosols from loess alternating with Rendzic Leptosols from marlstone and limestone
7041	284	Chernozems from loess and loess-like silty sediments
7041	285	Phaeozemic Luvisols / Luvic Phaeozems from loess or loessic loam
7041	317	Rendzic Leptosols from slope deposits over limestone, marlstone, and dolomite alternating with Chromic Cambisols and Chromic Luvisols from silty and clayey material derived from limestone weathering
7041	323	Eutric and Chromic Cambisols from redeposited material derived from lime-stone, marlstone and dolomite weathering and Rendzic Leptosols from limestone
7041	329	Vertic Cambisols / Stagnic Gleysols from marlstone and claystone weathering
7041	346	Andic cambisols from tuffs rich in bases
7041	350	"	Dystric Cambisols from acid igneous and metamorphic rocks"
7041	378	Spodic Cambisols from hard argillaceous and silty slates, greywacke, and phyllite
7041	383	Dystric Cambisols from quartzitic sandstones and conglomerates with low base status
7041	406	Frequently alternating Dystric and Spodic Cambisols / Rendzic Leptosols / Haplic Luvisols from slate, greywacke, and limestone, and loessic loam overlying various rocks
7041	466	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Luvisols from boulder clay
7041	480	Stagnic Gleysols from loamy to sandy boulder clay
7041	486	Dystric Podzoluvisols / Luvic Arenosols / Dystric Cambisols from sandy sediments overlying boulder clay
7041	515	Eutric Cambisols / Luvic Arenosols from eutrophic sand deposits
7042	62	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
7042	84	Luvic Chernozems / Haplic Luvisols from boulder clay or glacial-lake sediments
7042	150	Haplic and Stagnic Chernozems from loess overlying claystone and marlstone
7042	152	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols from loess or loessic loam overlying various rocks
7042	159	Haplic Luvisols / Eutric Podzoluvisols / Eutric Cambisols from sandy loess overlying sand or loam
7042	176	Eutric Cambisols from marlstone and calcareous gravels
7042	216	Fluvisols / Gleysols from rapidly alternating sandy to clayey fluviatile sediments
7042	221	Calcaric Regosols / Calcaric Fluvisols from calcareous sandy to loamy sediments of river terraces
7042	236	Dystric Cambisols from sandy river-terrace deposits
7042	250	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
7042	252	Stagnic Gleysols from boulder clay with a loamy to sandy cover
7042	257	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
7042	276	Calcaric Regosols from loess alternating with Rendzic Leptosols from marlstone and limestone
7042	284	Chernozems from loess and loess-like silty sediments
7042	285	Phaeozemic Luvisols / Luvic Phaeozems from loess or loessic loam
7042	317	Rendzic Leptosols from slope deposits over limestone, marlstone, and dolomite alternating with Chromic Cambisols and Chromic Luvisols from silty and clayey material derived from limestone weathering
7042	323	Eutric and Chromic Cambisols from redeposited material derived from lime-stone, marlstone and dolomite weathering and Rendzic Leptosols from limestone
7042	329	Vertic Cambisols / Stagnic Gleysols from marlstone and claystone weathering
7042	346	Andic cambisols from tuffs rich in bases
7042	350	"	Dystric Cambisols from acid igneous and metamorphic rocks"
7042	378	Spodic Cambisols from hard argillaceous and silty slates, greywacke, and phyllite
