Comm_ID	Humus_form
4980	Mull
4980	Moist mull
4981	Mull
4981	Moist mull
4982	Mull
4982	Moist mull
4983	Mull
4983	Moist mull
4984	Mull
4984	Moist mull
4985	Mull
4986	Mull
4986	Moist mull
4987	Mull
4987	Moist mull
4988	Mull
4989	Mull
4990	Mull
5000	Mull
5001	Raw humus-like moder
5001	Moist raw humus
5002	Mull
5004	Mull
5005	Mull
5005	Mull-like moder
5006	Moder
5007	Raised bog peat
5008	Mull
5008	Mull-like moder
5008	Moder
5009	Mull-like moder
5010	Mull-like moder
5010	Moder
5011	Mull
5011	Mull-like moder
5011	Moder
5012	Transition bog peat
5012	Moist raw humus
5012	Anmoor
5013	Raw humus-like moder
5013	Moist raw humus
5013	Transition bog peat
5014	Mull-like moder
5014	Moder
5015	Mull-like moder
5016	Mull
5016	Mull-like moder
5017	Mull
5018	Mull-like moder
5018	Moder
5019	Mull
5020	Mull
5021	Moder
5021	Raw humus-like moder
5022	Mull-like moder
5023	Mull
5024	Moist mull
5024	Transition bog peat
5025	Raised bog peat
5026	Mull
5027	Moder
5027	Transition bog peat
5027	Moist moder
5027	Moder
5028	Moist raw humus
5028	Raised bog peat
5029	Moist raw humus
5029	Raised bog peat
5030	Mull-like moder
5030	Moist moder
5031	Mull-like moder
5031	Moder
5032	Moist moder
5032	Moder
5032	Transition bog peat
5033	Mull-like moder
5033	Moder
5033	Moist moder
5034	Mull
5034	Moder
5035	Raw humus-like moder
5035	Moder
5035	Raw humus
5036	Raw humus
